epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,18645.1,0.26803,0.34199,1.00647,0.36116,0.99132,0.69681,0.68008,0.25762,3.61295,0.79437,0.0003326,0.0003326,0.0003326
64,21990.4,0.2598,0.33593,1.00243,0.36698,0.93366,0.66434,0.64262,0.26461,3.85416,0.79372,0.000314916,0.000314916,0.000314916
65,25369.7,0.26214,0.33379,0.99623,0.36782,0.98413,0.73591,0.72,0.2527,3.0532,0.79504,0.000297232,0.000297232,0.000297232
66,28800.6,0.26699,0.32843,1.00137,0.37082,0.99653,0.71559,0.69974,0.23861,3.13546,0.76422,0.000279548,0.000279548,0.000279548
67,32216.7,0.2622,0.3239,1.00086,0.49095,0.79027,0.74719,0.73543,0.26596,2.00737,0.80038,0.000261864,0.000261864,0.000261864
68,35629.9,0.2749,0.36649,1.0107,0.4742,0.78716,0.73796,0.72255,0.24187,2.01249,0.77247,0.00024418,0.00024418,0.00024418
69,39029.4,0.27228,0.35973,1.00883,0.37287,0.99479,0.70643,0.68783,0.2675,3.1972,0.80449,0.000226497,0.000226497,0.000226497
70,42442.7,0.28558,0.39641,1.01569,0.61192,0.5781,0.7123,0.69593,0.24977,2.76315,0.77639,0.000208813,0.000208813,0.000208813
71,5773.32,0.15301,0.26006,0.97505,0.65285,0.59366,0.68559,0.66907,0.24338,3.4062,0.77981,0.000191129,0.000191129,0.000191129
72,9265.32,0.14621,0.22643,0.96376,0.61944,0.58744,0.66254,0.64992,0.23575,3.30911,0.75921,0.000173445,0.000173445,0.000173445
73,12729.8,0.1396,0.21461,0.96147,0.36086,0.98785,0.67235,0.65894,0.22747,3.46589,0.74593,0.000155761,0.000155761,0.000155761
74,16218,0.13529,0.20733,0.95509,0.36654,0.99653,0.71101,0.69922,0.22182,3.25613,0.73356,0.000138077,0.000138077,0.000138077
75,19737.4,0.13532,0.21627,0.95147,0.36122,0.98611,0.67722,0.65927,0.22478,3.44056,0.74361,0.000120393,0.000120393,0.000120393
76,23252.2,0.13283,0.19026,0.95202,0.35709,0.97898,0.65334,0.63734,0.2329,3.27979,0.75021,0.000102709,0.000102709,0.000102709
77,26697.8,0.13151,0.18809,0.94406,0.34909,0.98072,0.66136,0.64843,0.2316,3.17626,0.74648,8.50255e-05,8.50255e-05,8.50255e-05
78,30083.2,0.12565,0.18018,0.94502,0.36062,0.96857,0.66123,0.65145,0.2255,3.39465,0.73801,6.73416e-05,6.73416e-05,6.73416e-05
79,33486.7,0.12494,0.18038,0.95136,0.35808,0.97551,0.68396,0.67189,0.2273,2.92652,0.74743,4.96578e-05,4.96578e-05,4.96578e-05
80,36903.5,0.12792,0.16954,0.94925,0.44344,0.78458,0.6803,0.66919,0.2213,2.94768,0.73504,3.19739e-05,3.19739e-05,3.19739e-05
